"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
624,"2013-10-20 04:00:00","Córdoba","Río Tercero","RIO TERCERO","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-11-04","Call Center","2013-10-24 13:25:00","14"
625,"2013-10-25 05:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","","En el interior del local","Controladores","Agresión física","","Derivado","2013-10-28","Call Center","2013-10-25 13:47:00","02"
626,"2013-10-26 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2013-10-28","Página web de RENCAP ","2013-10-28 10:57:00","02"
627,"2013-10-13 05:30:00","Buenos Aires","Malvinas Argentinas","Grand Bourg","Racial","","En el interior del local","Personas vinculadas a la empresa","","","Derivado","2013-11-04","Call Center","2013-10-31 12:46:00","06"
628,"2013-10-31 03:30:00","Mendoza","Mendoza","","","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","Agresión verbal - Agresión física","","Desestimado","2013-12-03","Página web de RENCAP ","2013-11-01 14:33:00","50"
629,"2013-11-03 02:44:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Personal de empresas de seguridad","","","Derivado","2013-11-12","Página web de RENCAP ","2013-11-03 15:49:00","02"
630,"2013-11-04 03:30:00","Buenos Aires","La Matanza","Ramos Mejía","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-11-07","Página web de RENCAP ","2013-11-04 10:51:00","06"
631,"2013-11-09 23:30:00","Buenos Aires","Quilmes","Quilmes Oeste","Racial","El personal de control no esta identificado","En el acceso local","Controladores - Policias","Agresión verbal","","Derivado","2013-11-12","Call Center","2013-11-12 13:07:00","06"
632,"2013-11-13 11:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","No exhibe condiciones de adminsión y permanencia","En las proximidades del local","","","","Desestimado","2013-12-03","Página web de RENCAP ","2013-11-13 12:42:00","02"
633,"2013-10-25 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-11-28","Página web de RENCAP ","2013-11-14 11:35:00","02"
634,"2013-11-08 03:15:00","Buenos Aires","Bahía Blanca","Bahía Blanca","Por indumentaria","Presencia de menores","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-12-04","Página web de RENCAP ","2013-11-15 14:28:00","06"
635,"2013-10-24 21:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad","","","Derivado","2013-12-04","Call Center","2013-11-19 16:32:00","02"
636,"2013-11-16 04:30:00","Buenos Aires","La Matanza","San Justo","","","En las proximidades del local","Controladores","Agresión física","","Derivado","2013-12-06","Call Center","2013-11-21 15:08:00","06"
637,"2013-11-09 03:00:00","Buenos Aires","La Matanza","Ramos Mejía","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-11-28","Call Center","2013-11-21 15:44:00","06"
638,"2013-11-24 04:00:00","Entre Ríos","Paraná","PARANA","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-12-04","Página web de RENCAP ","2013-11-30 17:27:00","30"
642,"2013-11-30 20:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores - Personal de empresas de seguridad","","","Derivado","2013-12-19","Página web de RENCAP ","2013-12-03 21:41:00","02"
643,"2013-11-30 03:00:00","Buenos Aires","La Matanza","Gonzalez Catán","","Presencia de menores","En el interior del local","Personas vinculadas a la empresa","","Se solicitó asistencia policial","Derivado","2014-03-28","Página web de RENCAP ","2013-12-06 15:27:00","06"
644,"2013-12-05 12:30:00","Ciudad Autónoma de Buenos Aires","Barrio Boedo","","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2013-12-19","Call Center","2013-12-06 16:52:00","02"
645,"2013-12-08 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Belgrano","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2013-12-27","Página web de RENCAP ","2013-12-08 03:47:00","02"
646,"2013-12-08 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","Racial","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-12-19","Página web de RENCAP ","2013-12-08 18:04:00","02"
647,"2013-12-06 01:45:00","Buenos Aires","San Miguel","San Miguel","Por aspecto físico - Por indumentaria - Racial","","En el acceso local","Controladores","","","Derivado","2013-12-27","Call Center","2013-12-09 15:07:00","06"
649,"2013-12-06 00:00:00","Buenos Aires","Hurlingham","Hurlingham","Otros","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","Personas vinculadas a la empresa","","","Derivado","2014-03-28","Página web de RENCAP ","2013-12-11 14:31:00","06"
655,"2013-12-14 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-12-27","Call Center","2013-12-16 17:56:00","02"
656,"2013-12-25 03:30:00","Buenos Aires","San Nicolás de Los Arroyos","","Racial","","En el acceso local","Controladores","","","Derivado","2014-01-03","Call Center","2013-12-27 14:00:00","06"
657,"2013-12-28 05:16:00","Buenos Aires","Bahía Blanca","Bahía Blanca","Otros","","En el interior del local","Controladores","Agresión física","","Derivado","2014-01-03","Página web de RENCAP ","2013-12-28 10:18:00","06"
658,"2013-12-28 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","","","","Derivado","2014-01-03","Página web de RENCAP ","2013-12-30 01:38:00","02"
659,"2014-01-04 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores","Agresión verbal","","Derivado","2014-02-07","Página web de RENCAP ","2014-01-06 11:53:00","02"
660,"2013-11-15 01:00:00","Mendoza","Mendoza","","Por orientacion sexual","","En el interior del local","Controladores","","","Derivado","2014-01-07","Call Center","2014-01-06 19:40:00","50"
661,"2014-01-04 03:30:00","Buenos Aires","Florencio Varela","Fcio. Varela","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores - Personal de empresas de seguridad","Agresión física","","Derivado","2014-01-07","Página web de RENCAP ","2014-01-07 17:17:00","06"
662,"2014-01-05 07:00:00","Mendoza","Mendoza","MENDOZA","Por orientacion sexual","","En el acceso local","Controladores","Agresión física","","Derivado","2014-01-10","Call Center","2014-01-09 13:43:00","50"
664,"2014-01-12 06:15:00","Buenos Aires","Ezeiza","J.M. Ezeiza","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2014-02-07","Call Center","2014-01-13 19:09:00","06"
665,"2014-01-07 05:00:00","Buenos Aires","de La Costa","San Bernardo","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2014-02-07","Call Center","2014-01-17 14:10:00","06"
666,"2014-01-05 01:30:00","San Juan","Pocito","","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Controladores","","","Derivado","2014-02-04","Call Center","2014-01-20 14:07:00","70"
667,"2013-10-17 12:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","","","","Desestimado","2014-02-07","Página web de RENCAP ","2014-01-22 10:52:00","06"
668,"2014-01-26 02:30:00","Buenos Aires","Lomas de Zamora","Banfield","Por aspecto físico - Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Derivado","2014-02-04","Página web de RENCAP ","2014-01-26 13:32:00","06"
670,"2014-01-25 02:00:00","Buenos Aires","Lomas de Zamora","Banfield","Por aspecto físico - Por orientacion sexual - Por indumentaria - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","Agresión verbal","","Desestimado","2014-02-07","Página web de RENCAP ","2014-01-27 20:40:00","06"
671,"2014-01-24 04:00:00","Buenos Aires","Pergamino","Pergamino","Por aspecto físico - Por orientacion sexual - Por indumentaria - Otros - Racial","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","Agresión verbal","","Derivado","2014-02-07","Página web de RENCAP ","2014-01-29 22:21:00","06"
672,"2014-01-29 10:00:00","Buenos Aires","San Isidro","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2014-02-04","Call Center","2014-01-31 12:53:00","06"
675,"2014-02-02 05:30:00","Buenos Aires","de La Costa","Santa Teresita","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2014-02-11","Call Center","2014-02-07 16:59:00","06"
676,"2014-02-08 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","","Presencia de menores","En el interior del local","Personas vinculadas a la empresa","","","Derivado","2014-02-13","Página web de RENCAP ","2014-02-10 21:03:00","02"
677,"2014-02-16 03:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","No exhibe nomina de personal de control habilitado","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2014-02-25","Página web de RENCAP ","2014-02-16 17:07:00","02"
678,"2014-02-15 04:00:00","Buenos Aires","Salto","Salto","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2014-02-20","Call Center","2014-02-17 15:40:00","06"
679,"2014-02-15 20:00:00","Buenos Aires","Lomas de Zamora","Banfield","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación","En el acceso local","","","","Derivado","2014-02-20","Página web de RENCAP ","2014-02-18 11:21:00","06"
680,"2014-02-01 04:00:00","Buenos Aires","La Matanza","G. de Laferrere","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2014-02-21","Call Center","2014-02-20 18:01:00","06"
681,"2014-02-13 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","Agresión verbal - Agresión física","","Derivado","2014-03-05","Página web de RENCAP ","2014-02-20 20:49:00","02"
683,"2014-02-20 00:45:00","Tucumán","San Miguel de Tucumán","SAN MIGUEL DE TUCUMAN","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2014-03-10","Página web de RENCAP ","2014-02-27 12:54:00","90"
687,"2014-02-27 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Racial","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2014-03-05","Página web de RENCAP ","2014-02-28 16:41:00","02"
688,"2014-03-01 00:01:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2014-03-07","Página web de RENCAP ","2014-03-01 19:05:00","14"
689,"2014-03-01 00:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2014-03-05","Página web de RENCAP ","2014-03-03 05:11:00","02"
690,"2014-02-28 03:30:00","Mendoza","Mendoza","MENDOZA","Por aspecto físico - Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","Agresión verbal - Agresión física","","Derivado","2014-03-10","Página web de RENCAP ","2014-03-03 23:21:00","50"
